"phantom_size","density","insert_sizes","ground_truth_mass_hd","predicted_mass_hd","ground_truth_mass_md","predicted_mass_md","ground_truth_mass_ld","predicted_mass_ld"
"Small","Density1","Large",129.53179209832416,129.88134668059638,72.62969516017904,71.1967444341986,26.683902601428304,27.43754007575516
"Small","Density1","Medium",46.63144515539669,46.907437275356344,26.146690257664453,25.71498489099921,9.606204936514189,10.634160407031994
"Small","Density1","Small",5.181271683932966,4.410989329852865,2.9051878064071612,1.4789969903671907,1.0673561040571322,0.9886965116542009
"Small","Density2","Large",118.22205854540091,118.99763851224284,65.38439710283757,66.16826502086884,15.904312808798327,16.421614943331946
"Small","Density2","Medium",42.55994107634432,42.96777301743048,23.538382957021525,22.508447214435503,5.725552611167398,6.92733628936955
"Small","Density2","Small",4.728882341816036,2.9223375505035847,2.615375884113503,2.4909870812870194,0.6361725123519331,0.5432079011023514
"Small","Density3","Large",97.54645189396308,98.8645218198956,39.23063826170254,39.92255407321309,9.189158511750145,10.284582301070754
"Small","Density3","Medium",35.11672268182671,35.52947425401764,14.123029774212917,13.260375524711622,3.3080970642300525,2.4567591253851258
"Small","Density3","Small",3.901858075758523,5.02856284868443,1.5692255304681018,1.962063890572338,0.3675663404700058,0.13733383250558504
"Medium","Density1","Large",129.53179209832416,127.95536881741427,72.62969516017904,71.76245382294164,26.683902601428304,26.060288103693583
"Medium","Density1","Medium",46.63144515539669,47.22209563010992,26.146690257664453,26.127802886094674,9.606204936514189,10.55796655350751
"Medium","Density1","Small",5.181271683932966,6.268676748598661,2.9051878064071612,3.652120390858031,1.0673561040571322,1.7536259773162117
"Medium","Density2","Large",118.22205854540091,115.73285678314596,65.38439710283757,63.95086971265082,15.904312808798327,15.79659757463297
"Medium","Density2","Medium",42.55994107634432,40.79132150738876,23.538382957021525,22.600445488553806,5.725552611167398,6.862758217053703
"Medium","Density2","Small",4.728882341816036,4.938210672614101,2.615375884113503,1.7260649707723095,0.6361725123519331,-0.5681588942069047
"Medium","Density3","Large",97.54645189396308,96.22405787551646,39.23063826170254,37.88910476808138,9.189158511750145,10.123327931271948
"Medium","Density3","Medium",35.11672268182671,36.073041842287225,14.123029774212917,12.43890821258485,3.3080970642300525,0.9881536809545544
"Medium","Density3","Small",3.901858075758523,2.8040843972496425,1.5692255304681018,1.3589894627361092,0.3675663404700058,1.0720197158037974
"Large","Density1","Large",129.53179209832416,118.5427530423158,72.62969516017904,68.72709769967432,26.683902601428304,27.281989442744703
"Large","Density1","Medium",46.63144515539669,45.098121942191064,26.146690257664453,25.701920014917302,9.606204936514189,10.498794138915104
"Large","Density1","Small",5.181271683932966,6.270883355025605,2.9051878064071612,3.835779774845574,1.0673561040571322,1.0217342765346353
"Large","Density2","Large",118.22205854540091,114.01247674945682,65.38439710283757,62.67640079283616,15.904312808798327,14.138171745279408
"Large","Density2","Medium",42.55994107634432,41.83707377157147,23.538382957021525,23.776777682870552,5.725552611167398,6.9729383744263975
"Large","Density2","Small",4.728882341816036,5.096813572727282,2.615375884113503,2.4548858107168834,0.6361725123519331,1.2008738641461587
"Large","Density3","Large",97.54645189396308,92.18806742972608,39.23063826170254,37.17808845306578,9.189158511750145,10.204216866069599
"Large","Density3","Medium",35.11672268182671,34.4546014601209,14.123029774212917,13.67907233215215,3.3080970642300525,3.3260658238702017
"Large","Density3","Small",3.901858075758523,4.988109713677465,1.5692255304681018,0.9577295749672099,0.3675663404700058,-0.09714184035734957
"Small1","Density1","Large",140.84152565124742,141.7999726082179,17.848173263207013,18.66710220265923,6.538439710283757,7.256539302880331
"Small1","Density1","Medium",50.702949234449065,51.530462747020614,6.425342374754525,6.881826861573328,2.353838295702152,3.306227665393808
"Small1","Density1","Small",5.6336610260498965,6.4438938364519185,0.7139269305282805,0.677466572419441,0.2615375884113503,0.4217020013187685
"Small1","Density2","Large",71.21597846606362,71.16649511805863,8.482300164692441,8.911208864812515,5.654866776461628,5.862421160558224
"Small1","Density2","Medium",25.637752247782906,25.605308152014814,3.053628059289279,2.8557993293284687,2.035752039526186,2.852333935219057
"Small1","Density2","Small",2.848639138642545,2.5909714680649265,0.33929200658769765,-1.1720914688827588,0.2261946710584651,-2.2096462200093216
"Small1","Density3","Large",35.16620276612075,35.57153607262387,7.24529805734146,7.627436435568083,4.771293842639499,4.127642384862586
"Small1","Density3","Medium",12.65983299580347,13.061967362017521,2.6083073006429256,1.6827351096024565,1.7176657833502196,2.1897155091088885
"Small1","Density3","Small",1.4066481106448299,1.7848390010436768,0.28981192229365843,-2.4825085805552027,0.19085175370557994,-1.33427824642174
"Medium1","Density1","Large",140.84152565124742,137.01534512221585,17.848173263207013,19.06866693706246,6.538439710283757,7.463853566440047
"Medium1","Density1","Medium",50.702949234449065,51.180960699778375,6.425342374754525,7.302630575279532,2.353838295702152,1.6700742303877367
"Medium1","Density1","Small",5.6336610260498965,6.338953599051325,0.7139269305282805,-1.1364216203663484,0.2615375884113503,0.07893293566016017
"Medium1","Density2","Large",71.21597846606362,69.44078679658622,8.482300164692441,8.988134737078102,5.654866776461628,4.509469072274258
"Medium1","Density2","Medium",25.637752247782906,24.38413601644415,3.053628059289279,3.743107817605405,2.035752039526186,2.446399755677609
"Medium1","Density2","Small",2.848639138642545,2.540491554687256,0.33929200658769765,-1.709199226545449,0.2261946710584651,-0.2991564632860953
"Medium1","Density3","Large",35.16620276612075,36.33154798398504,7.24529805734146,5.826132154288961,4.771293842639499,6.6817041321518404
"Medium1","Density3","Medium",12.65983299580347,13.423100899014514,2.6083073006429256,3.491984242395206,1.7176657833502196,2.2438437996174105
"Medium1","Density3","Small",1.4066481106448299,2.188891891108445,0.28981192229365843,0.9372145205106789,0.19085175370557994,0.011683039094979268
"Large1","Density1","Large",140.84152565124742,99.8001376806095,17.848173263207013,18.14605742593155,6.538439710283757,7.6895639517612295
"Large1","Density1","Medium",50.702949234449065,49.45275333168148,6.425342374754525,8.101518453896047,2.353838295702152,3.191249180350912
"Large1","Density1","Small",5.6336610260498965,6.834240542691635,0.7139269305282805,0.7802310953490986,0.2615375884113503,0.5856477091074249
"Large1","Density2","Large",71.21597846606362,68.46853997628803,8.482300164692441,9.522389847089014,5.654866776461628,6.557276627232875
"Large1","Density2","Medium",25.637752247782906,25.56358870933383,3.053628059289279,3.6256499671730156,2.035752039526186,3.7978956003092232
"Large1","Density2","Small",2.848639138642545,2.9478243051617223,0.33929200658769765,0.7734950488502655,0.2261946710584651,-2.5100003730318305
"Large1","Density3","Large",35.16620276612075,34.66025230987854,7.24529805734146,8.134846072467555,4.771293842639499,4.496259860601903
"Large1","Density3","Medium",12.65983299580347,13.184737806930807,2.6083073006429256,3.292625435527618,1.7176657833502196,4.004225040529815
"Large1","Density3","Small",1.4066481106448299,1.4308822766722713,0.28981192229365843,1.146456133985913,0.19085175370557994,0.45366627260237175
